PUSH-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
260,1,4,7,11,15
270,1,4,7,11,15
280,1,4,7,11,15
290,1,4,7,11,15
300,0,4,7,10,14
310,0,4,7,10,14
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,12,22,31
120,< 1,6,13,22,31
130,< 1,6,13,21,30
140,< 1,6,12,21,30
150,< 1,6,12,20,29
160,< 1,6,12,19,28
170,< 1,6,11,19,27
180,< 1,6,11,18,26
190,< 1,6,11,18,25
200,< 1,5,10,17,24
210,< 1,5,10,17,23
220,< 1,5,10,17,23
230,< 1,5,10,16,22
240,< 1,5,10,15,21
250,< 1,4,9,15,21
260,< 1,4,9,14,20
270,< 1,4,9,14,19
280,< 1,3,8,13,18
290,< 1,3,8,12,18
300,< 1,3,8,12,17
310,< 1,3,7,11,17
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,14,25,35
120,< 1,7,15,25,35
130,< 1,7,15,24,34
140,< 1,7,14,24,33
150,< 1,7,14,23,32
160,< 1,7,14,22,31
170,< 1,7,13,22,30
180,< 1,7,13,21,29
190,< 1,7,13,21,28
200,< 1,6,12,20,27
210,< 1,6,12,19,26
220,< 1,6,11,19,25
230,< 1,6,11,18,25
240,< 1,6,11,17,24
250,< 1,5,10,17,24
260,< 1,5,10,16,23
270,< 1,5,10,16,22
280,< 1,4,9,15,21
290,< 1,4,9,14,21
300,< 1,4,9,14,20
310,< 1,4,8,13,19
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,14,25,36
120,< 1,7,15,25,36
130,< 1,7,15,24,35
140,< 1,7,14,24,34
150,< 1,7,14,23,33
160,< 1,7,14,22,32
170,< 1,7,13,22,31
180,< 1,7,13,21,30
190,< 1,7,13,21,29
200,< 1,6,12,20,28
210,< 1,6,12,19,27
220,< 1,6,11,19,26
230,< 1,6,11,18,25
240,< 1,6,11,17,24
250,< 1,5,10,17,24
260,< 1,5,10,16,23
270,< 1,5,10,16,22
280,< 1,4,9,15,21
290,< 1,4,9,14,21
300,< 1,4,9,14,20
310,< 1,4,8,13,19
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,13,24,34
120,< 1,7,14,24,34
130,< 1,7,14,23,33
140,< 1,7,13,23,32
150,< 1,7,13,22,31
160,< 1,7,13,21,30
170,< 1,7,12,21,29
180,< 1,7,12,20,29
190,< 1,7,12,20,28
200,< 1,6,11,19,27
210,< 1,6,11,18,26
220,< 1,6,10,18,25
230,< 1,6,10,17,24
240,< 1,6,10,16,23
250,< 1,5,10,16,23
260,< 1,5,10,15,22
270,< 1,5,10,15,21
280,< 1,4,9,14,20
290,< 1,4,9,13,20
300,< 1,4,9,13,19
310,< 1,4,8,12,18
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,12,21,30
120,< 1,6,12,21,30
130,< 1,6,12,20,29
140,< 1,6,12,20,28
150,< 1,6,12,19,27
160,< 1,6,12,18,27
170,< 1,6,11,18,26
180,< 1,6,11,17,25
190,< 1,6,11,17,24
200,< 1,5,10,17,23
210,< 1,5,10,16,22
220,< 1,5,9,16,22
230,< 1,5,9,15,21
240,< 1,5,9,14,20
250,< 1,4,8,14,20
260,< 1,4,8,13,19
270,< 1,4,8,13,18
280,< 1,3,7,12,17
290,< 1,3,7,12,17
300,< 1,3,7,12,17
310,< 1,3,7,11,16
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,4,10,17,25
120,< 1,5,10,17,25
130,< 1,5,10,17,24
140,< 1,5,10,17,23
150,< 1,5,10,16,23
160,< 1,5,10,15,22
170,< 1,5,9,15,21
180,< 1,5,9,14,21
190,< 1,5,9,14,20
200,< 1,4,8,14,19
210,< 1,4,8,13,19
220,< 1,4,8,13,18
230,< 1,4,8,12,17
240,< 1,4,8,12,17
250,< 1,3,7,12,17
260,< 1,3,7,11,16
270,< 1,3,7,11,15
280,< 1,3,6,10,14
290,< 1,3,6,10,14
300,< 1,3,6,10,14
310,< 1,3,6,9,13
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,8,14,20
120,< 1,4,8,14,20
130,< 1,4,8,13,19
140,< 1,4,8,13,19
150,< 1,4,8,13,18
160,< 1,4,8,12,18
170,< 1,4,7,12,17
180,< 1,4,7,12,17
190,< 1,4,7,12,16
200,< 1,3,7,11,15
210,< 1,3,7,10,15
220,< 1,3,6,10,14
230,< 1,3,6,10,14
240,< 1,3,6,9,13
250,< 1,3,6,9,13
260,< 1,3,6,9,13
270,< 1,3,6,9,12
280,< 1,2,5,8,12
290,< 1,2,5,8,12
300,< 1,2,5,8,11
310,< 1,2,4,7,10
,,,,,
CHIN-UP STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,6,11,16
120,< 1,3,7,11,16
130,< 1,3,7,11,15
140,< 1,3,6,11,15
150,< 1,3,6,10,15
160,< 1,3,6,10,14
170,< 1,3,6,10,14
180,< 1,3,6,9,13
190,< 1,3,6,9,13
200,< 1,3,5,9,12
210,< 1,3,5,8,12
220,< 1,3,5,8,11
230,< 1,3,5,8,11
240,< 1,3,5,7,11
250,< 1,2,4,7,11
260,< 1,2,4,7,10
270,< 1,2,4,7,10
280,< 1,2,4,7,9
290,< 1,2,4,6,9
300,< 1,2,4,6,9
310,< 1,2,4,6,8
,,,,,
PULL-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,4,12,23,34
120,< 1,4,12,22,33
130,< 1,4,12,22,32
140,< 1,5,12,21,31
150,< 1,5,12,21,30
160,< 1,5,11,20,29
170,< 1,5,11,20,28
180,< 1,5,11,19,27
190,< 1,5,10,18,26
200,< 1,4,10,18,25
210,< 1,4,10,17,25
220,< 1,4,10,17,24
230,< 1,4,10,17,23
240,< 1,4,9,16,23
250,< 1,3,9,15,22
260,< 1,3,9,15,21
270,< 1,3,9,14,21
280,< 1,3,8,14,20
290,< 1,3,8,13,19
300,< 1,3,8,13,18
310,< 1,3,7,12,18
,,,,,
PULL-UP STANDARDS FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,14,25,38
120,< 1,5,14,25,37
130,< 1,5,14,25,36
140,< 1,6,14,24,35
150,< 1,6,14,24,34
160,< 1,6,13,23,32
170,< 1,6,13,23,31
180,< 1,6,13,22,30
190,< 1,6,12,21,29
200,< 1,5,12,21,28
210,< 1,5,12,20,28
220,< 1,5,11,19,27
230,< 1,5,11,19,26
240,< 1,5,10,18,25
250,< 1,4,10,17,25
260,< 1,4,10,17,24
270,< 1,4,10,16,24
280,< 1,4,9,16,23
290,< 1,3,9,15,22
300,< 1,3,9,15,21
310,< 1,3,8,14,21
,,,,,
PULL-UP STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,14,26,39
120,< 1,5,14,25,38
130,< 1,5,14,25,37
140,< 1,6,14,24,36
150,< 1,6,14,24,35
160,< 1,6,13,23,33
170,< 1,6,13,23,32
180,< 1,6,13,22,31
190,< 1,6,12,21,30
200,< 1,5,12,21,29
210,< 1,5,12,20,29
220,< 1,5,11,19,28
230,< 1,5,11,19,27
240,< 1,5,10,18,26
250,< 1,4,10,17,25
260,< 1,4,10,17,24
270,< 1,4,10,16,24
280,< 1,4,9,16,23
290,< 1,3,9,15,22
300,< 1,3,9,15,21
310,< 1,3,8,14,21
,,,,,
PULL-UP STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,13,25,37
120,< 1,5,13,24,36
130,< 1,5,13,24,35
140,< 1,6,13,23,34
150,< 1,6,13,23,33
160,< 1,6,12,22,31
170,< 1,6,12,22,30
180,< 1,6,12,21,29
190,< 1,6,11,20,29
200,< 1,5,11,20,28
210,< 1,5,11,19,28
220,< 1,5,10,18,27
230,< 1,5,10,18,26
240,< 1,5,10,17,25
250,< 1,4,10,16,24
260,< 1,4,10,16,23
270,< 1,4,10,15,23
280,< 1,4,9,15,22
290,< 1,3,9,14,21
300,< 1,3,9,14,20
310,< 1,3,8,13,20
,,,,,
PULL-UP STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,4,12,22,32
120,< 1,4,12,21,32
130,< 1,4,12,21,31
140,< 1,5,12,20,30
150,< 1,5,12,20,29
160,< 1,5,11,19,27
170,< 1,5,11,19,27
180,< 1,5,11,18,26
190,< 1,5,10,17,25
200,< 1,4,10,17,24
210,< 1,4,10,17,24
220,< 1,4,9,16,23
230,< 1,4,9,16,22
240,< 1,4,8,15,22
250,< 1,3,8,14,21
260,< 1,3,8,14,20
270,< 1,3,8,13,20
280,< 1,3,7,13,19
290,< 1,2,7,12,18
300,< 1,2,7,12,17
310,< 1,2,7,12,17
,,,,,
PULL-UP STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,10,18,27
120,< 1,3,10,17,26
130,< 1,3,10,17,26
140,< 1,4,10,17,25
150,< 1,4,10,17,24
160,< 1,4,9,16,23
170,< 1,4,9,16,22
180,< 1,4,9,15,21
190,< 1,4,8,14,21
200,< 1,3,8,14,20
210,< 1,3,8,14,20
220,< 1,3,8,13,19
230,< 1,3,8,13,19
240,< 1,3,7,12,18
250,< 1,3,7,12,17
260,< 1,3,7,12,17
270,< 1,3,7,11,17
280,< 1,3,6,11,16
290,< 1,2,6,10,15
300,< 1,2,6,10,14
310,< 1,2,6,10,14
,,,,,
PULL-UP STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,8,14,21
120,< 1,3,8,14,21
